current_city,destination,mode,fare,time_hours,confirmation
Dombivli,Chennai,Train,1200,24,85
Dombivli,Chennai,Bus,1800,28,80
Dombivli,Chennai,Flight,3500,2,95
Chennai,Tiruchirappalli,Train,300,5,92
Chennai,Tiruchirappalli,Bus,500,6,88
Chennai,Tiruchirappalli,Flight,2200,1,95
Dombivli,Hyderabad,Train,900,15,82
Dombivli,Hyderabad,Bus,1000,16,80
Dombivli,Hyderabad,Flight,2500,1.5,95
Hyderabad,Tiruchirappalli,Train,700,12,88
Hyderabad,Tiruchirappalli,Bus,800,14,84
Hyderabad,Tiruchirappalli,Flight,2800,1.5,95
Dombivli,Bangalore,Train,1000,18,84
Dombivli,Bangalore,Bus,1200,20,82
Dombivli,Bangalore,Flight,2800,1.5,95
Bangalore,Tiruchirappalli,Train,450,7,90
Bangalore,Tiruchirappalli,Bus,500,8,85
Bangalore,Tiruchirappalli,Flight,2500,1,95
Dombivli,Pune,Train,300,4,95
Dombivli,Pune,Bus,350,5,90
Pune,Hyderabad,Train,700,12,85
Pune,Hyderabad,Bus,800,13,82
Pune,Bangalore,Train,900,16,85
Pune,Bangalore,Bus,1000,17,82
Pune,Chennai,Train,1100,20,84
Pune,Chennai,Flight,2500,1.5,95
Delhi,Mumbai,Train,1500,18,85
Delhi,Mumbai,Flight,4000,2,95
Delhi,Hyderabad,Train,1800,24,84
Delhi,Hyderabad,Flight,4500,2,95
Delhi,Bangalore,Train,2000,30,82
Delhi,Bangalore,Flight,5000,2.5,95
Delhi,Chennai,Train,2200,32,80
Delhi,Chennai,Flight,4800,2.5,95
Mumbai,Ahmedabad,Train,500,8,90
Mumbai,Ahmedabad,Bus,600,9,85
Ahmedabad,Delhi,Train,900,12,88
Ahmedabad,Delhi,Flight,2500,1.5,95
Mumbai,Goa,Train,800,10,88
Mumbai,Goa,Bus,900,12,84
Mumbai,Goa,Flight,2500,1,95
Goa,Bangalore,Bus,700,11,82
Goa,Bangalore,Train,650,10,85
Goa,Chennai,Flight,3000,1.5,95
Nagpur,Hyderabad,Train,600,8,88
Nagpur,Hyderabad,Bus,700,9,85
Nagpur,Bangalore,Train,1200,18,84
Nagpur,Chennai,Train,1400,20,82
Nagpur,Delhi,Train,1000,14,85
Kolkata,Delhi,Train,1600,18,84
Kolkata,Delhi,Flight,3500,2,95
Kolkata,Chennai,Train,1700,26,82
Kolkata,Chennai,Flight,3800,2,95
Kolkata,Bangalore,Flight,4200,2.5,95
Bangalore,Chennai,Train,350,6,92
Bangalore,Chennai,Bus,450,7,88
Hyderabad,Bangalore,Train,500,9,90
Hyderabad,Bangalore,Bus,600,10,86
Hyderabad,Chennai,Train,700,12,88
Hyderabad,Chennai,Bus,800,13,84
Pune,Nashik,Train,200,3,95
Pune,Nashik,Bus,250,4,90
Pune,Nashik,Flight,1500,1,95
Dombivli,Mumbai,Train,100,1,95
Dombivli,Mumbai,Bus,150,1.5,90
Hyderabad,Goa,Train,400,6,90
Hyderabad,Goa,Bus,500,7,85

Mumbai,Surat,Train,450,5,92
Mumbai,Surat,Bus,550,6,88
Mumbai,Surat,Flight,2200,1,95

Mumbai,Vadodara,Train,550,6,91
Mumbai,Vadodara,Bus,650,7,87
Mumbai,Vadodara,Flight,2400,1,95

Mumbai,Jaipur,Train,1100,16,86
Mumbai,Jaipur,Bus,1400,18,82
Mumbai,Jaipur,Flight,3200,1.5,95

Mumbai,Indore,Train,700,10,89
Mumbai,Indore,Bus,850,11,85
Mumbai,Indore,Flight,2600,1.2,95

Pune,Surat,Train,500,7,90
Pune,Surat,Bus,600,8,86
Pune,Surat,Flight,2300,1,95

Pune,Indore,Train,650,9,88
Pune,Indore,Bus,750,10,84
Pune,Indore,Flight,2400,1,95

Hyderabad,Vijayawada,Train,350,5,93
Hyderabad,Vijayawada,Bus,450,6,89
Hyderabad,Vijayawada,Flight,1800,1,95

Hyderabad,Visakhapatnam,Train,650,9,89
Hyderabad,Visakhapatnam,Bus,750,10,85
Hyderabad,Visakhapatnam,Flight,2400,1,95

Bangalore,Mysore,Train,250,3,95
Bangalore,Mysore,Bus,300,4,91
Bangalore,Mysore,Flight,1500,1,95

Bangalore,Mangalore,Train,450,7,91
Bangalore,Mangalore,Bus,500,8,87
Bangalore,Mangalore,Flight,2200,1,95

Bangalore,Kochi,Train,600,10,88
Bangalore,Kochi,Bus,700,11,84
Bangalore,Kochi,Flight,2500,1,95

Chennai,Coimbatore,Train,400,6,92
Chennai,Coimbatore,Bus,500,7,88
Chennai,Coimbatore,Flight,2200,1,95

Chennai,Madurai,Train,350,5,93
Chennai,Madurai,Bus,450,6,89
Chennai,Madurai,Flight,2000,1,95

Delhi,Jaipur,Train,450,5,93
Delhi,Jaipur,Bus,550,6,89
Delhi,Jaipur,Flight,2200,1,95

Delhi,Chandigarh,Train,300,4,95
Delhi,Chandigarh,Bus,350,5,91
Delhi,Chandigarh,Flight,1800,1,95

Delhi,Lucknow,Train,600,8,90
Delhi,Lucknow,Bus,700,9,86
Delhi,Lucknow,Flight,2500,1,95

Delhi,Amritsar,Train,450,6,92
Delhi,Amritsar,Bus,550,7,88
Delhi,Amritsar,Flight,2200,1,95

Kolkata,Patna,Train,500,7,91
Kolkata,Patna,Bus,600,8,87
Kolkata,Patna,Flight,2300,1,95

Kolkata,Bhubaneswar,Train,400,6,92
Kolkata,Bhubaneswar,Bus,500,7,88
Kolkata,Bhubaneswar,Flight,2100,1,95
